x,y,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,year,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,concat_table_notes_text,yearbook_table_trans,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation
128.0,36.0,KOR,Graphite,tonnes (metric),128.000000,,,1973-01-01 00:00:00,36.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,43604,,Production of graphite,652,43604,,Production,graphite,,,Korea (Rep. of),,A,KR,Graphite,Normal value
-49.028009999999995,-12.408957,BRA,Graphite,tonnes (metric),-49.028010,,,1973-01-01 00:00:00,-12.408957,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,25784,,Production of graphite,652,25784,a,Production,graphite,,Crude.,Brazil,,A,BR,Graphite,Normal value
79.282538,22.642556,IND,Graphite,tonnes (metric),79.282538,,,1973-01-01 00:00:00,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,22728,,Production of graphite,652,22728,,Production,graphite,,,India,,A,IN,Graphite,Normal value
7.1000000000000005,50.733332999999995,DEU,Graphite,tonnes (metric),7.100000,,,1973-01-01 00:00:00,50.733333,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,13525,,Production of graphite,652,13525,g,Production,graphite,,Including production from imported crude graphite.,German Federal Republic,,A,DE,Graphite,Normal value
14.130671999999999,47.585656,AUT,Graphite,tonnes (metric),14.130672,,,1973-01-01 00:00:00,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,17211,,Production of graphite,652,17211,a,Production,graphite,,Crude.,Austria,,A,AT,Graphite,Normal value
14.130671999999999,47.585656,AUT,Graphite,tonnes (metric),14.130672,,,1974-01-01 00:00:00,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,29550,,Production of graphite,652,29550,a,Production,graphite,,Crude.,Austria,,A,AT,Graphite,Normal value
7.1000000000000005,50.733332999999995,DEU,Graphite,tonnes (metric),7.100000,,,1974-01-01 00:00:00,50.733333,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,16485,,Production of graphite,652,16485,g,Production,graphite,,Including production from imported crude graphite.,German Federal Republic,,A,DE,Graphite,Normal value
-49.028009999999995,-12.408957,BRA,Graphite,tonnes (metric),-49.028010,,,1974-01-01 00:00:00,-12.408957,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,5544,,Production of graphite,652,5544,,Production,graphite,,,Brazil,,A,BR,Graphite,Normal value
79.282538,22.642556,IND,Graphite,tonnes (metric),79.282538,,,1974-01-01 00:00:00,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,26456,,Production of graphite,652,26456,,Production,graphite,,,India,,A,IN,Graphite,Normal value
80.793549,7.020493,LKA,Graphite,tonnes (metric),80.793549,,,1974-01-01 00:00:00,7.020493,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,10427,,Production of graphite,652,10427,,Production,graphite,,,Sri Lanka,,A,LK,Graphite,Normal value
10.262436,61.687073999999996,NOR,Graphite,tonnes (metric),10.262436,,,1974-01-01 00:00:00,61.687074,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,9698,,Production of graphite,652,9698,,Production,graphite,,,Norway,,A,NO,Graphite,Normal value
82.51,55.51,SUN,Graphite,tonnes (metric),82.510000,,,1974-01-01 00:00:00,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,90000,,Production of graphite,652,90000,*,Production,graphite,,Estimates.,Soviet Union,,A,SU,Graphite,Normal value
-101.933344,23.629557,MEX,Graphite,tonnes (metric),-101.933344,,,1974-01-01 00:00:00,23.629557,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,62551,,Production of graphite,652,62551,,Production,graphite,,,Mexico,,A,MX,Graphite,Normal value
24.972941,45.853463999999995,ROU,Graphite,tonnes (metric),24.972941,,,1974-01-01 00:00:00,45.853464,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,6000,,Production of graphite,652,6000,*,Production,graphite,,Estimates.,Romania,,A,RO,Graphite,Normal value
-64.247496,-31.841561,ARG,Graphite,tonnes (metric),-64.247496,,,1974-01-01 00:00:00,-31.841561,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,60,,Production of graphite,652,60,,Production,graphite,,,Argentina,,A,AR,Graphite,Normal value
96.111983,21.798486,MMR,Graphite,tonnes (metric),96.111983,,,1974-01-01 00:00:00,21.798486,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,305,,Production of graphite,652,305,c,Production,graphite,,Years ended 31 March following that stated.,Myanmar,,A,MM,Graphite,Normal value
23.214465999999998,-30.457874999999998,ZAF,Graphite,tonnes (metric),23.214466,,,1974-01-01 00:00:00,-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,1554,,Production of graphite,652,1554,,Production,graphite,,,South Africa,,A,ZA,Graphite,Normal value
109.537431,32.216659,CHN,Graphite,tonnes (metric),109.537431,,,1974-01-01 00:00:00,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,40000,,Production of graphite,652,40000,*,Production,graphite,,Estimates.,China,,A,CN,Graphite,Normal value
46.863413,-18.771091,MDG,Graphite,tonnes (metric),46.863413,,,1974-01-01 00:00:00,-18.771091,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,17280,,Production of graphite,652,17280,,Production,graphite,,,Madagascar,,A,MG,Graphite,Normal value
127.0,40.0,PRK,Graphite,tonnes (metric),127.000000,,,1974-01-01 00:00:00,40.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,75000,,Production of graphite,652,75000,*,Production,graphite,,Estimates.,"Korea, Dem. P.R. of",,A,KP,Graphite,Normal value
10.612941,45.366552,ITA,Graphite,tonnes (metric),10.612941,,,1974-01-01 00:00:00,45.366552,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,2530,,Production of graphite,652,2530,,Production,graphite,,,Italy,,A,IT,Graphite,Normal value
128.0,36.0,KOR,Graphite,tonnes (metric),128.000000,,,1974-01-01 00:00:00,36.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,104861,,Production of graphite,652,104861,,Production,graphite,,,Korea (Rep. of),,A,KR,Graphite,Normal value
127.0,40.0,PRK,Graphite,tonnes (metric),127.000000,,,1975-01-01 00:00:00,40.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,75000,,Production of graphite,652,75000,*,Production,graphite,,Estimates.,"Korea, Dem. P.R. of",,A,KP,Graphite,Normal value
10.612941,45.366552,ITA,Graphite,tonnes (metric),10.612941,,,1975-01-01 00:00:00,45.366552,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,1492,,Production of graphite,652,1492,,Production,graphite,,,Italy,,A,IT,Graphite,Normal value
96.111983,21.798486,MMR,Graphite,tonnes (metric),96.111983,,,1975-01-01 00:00:00,21.798486,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,102,,Production of graphite,652,102,c,Production,graphite,,Years ended 31 March following that stated.,Myanmar,,A,MM,Graphite,Normal value
109.537431,32.216659,CHN,Graphite,tonnes (metric),109.537431,,,1975-01-01 00:00:00,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,50000,,Production of graphite,652,50000,*,Production,graphite,,Estimates.,China,,A,CN,Graphite,Normal value
128.0,36.0,KOR,Graphite,tonnes (metric),128.000000,,,1975-01-01 00:00:00,36.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,47232,,Production of graphite,652,47232,,Production,graphite,,,Korea (Rep. of),,A,KR,Graphite,Normal value
23.214465999999998,-30.457874999999998,ZAF,Graphite,tonnes (metric),23.214466,,,1975-01-01 00:00:00,-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,523,,Production of graphite,652,523,,Production,graphite,,,South Africa,,A,ZA,Graphite,Normal value
46.863413,-18.771091,MDG,Graphite,tonnes (metric),46.863413,,,1975-01-01 00:00:00,-18.771091,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,13313,,Production of graphite,652,13313,,Production,graphite,,,Madagascar,,A,MG,Graphite,Normal value
7.1000000000000005,50.733332999999995,DEU,Graphite,tonnes (metric),7.100000,,,1975-01-01 00:00:00,50.733333,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,13557,,Production of graphite,652,13557,g,Production,graphite,,Including production from imported crude graphite.,German Federal Republic,,A,DE,Graphite,Normal value
-49.028009999999995,-12.408957,BRA,Graphite,tonnes (metric),-49.028010,,,1975-01-01 00:00:00,-12.408957,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,5260,,Production of graphite,652,5260,,Production,graphite,,,Brazil,,A,BR,Graphite,Normal value
79.282538,22.642556,IND,Graphite,tonnes (metric),79.282538,,,1975-01-01 00:00:00,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,31255,,Production of graphite,652,31255,,Production,graphite,,,India,,A,IN,Graphite,Normal value
