x,y,country_iso3_code,erml_group,sdmx_translation,pole_of_inaccessibility_longitude,erml_commodity,units,year,pole_of_inaccessibility_latitude,erml_sub_commodity,concat_table_notes_code,yearbook_table_id,cgi_commodity_url,quantity,yearbook_table_trans,bgs_commodity_code,concat_table_notes_text,bgs_statistic_type_trans,bgs_commodity_trans,quantity_in_book_style,concat_figure_notes_code,country_trans,bgs_sub_commodity_trans,data_precision_description,concat_figure_notes_text,country_iso2_code,sdmx_code
29.851884,-19.002536,ZWE,,Normal Value,29.851884,,tonnes (metric),2020-01-01 00:00:00,-19.002536,,1,84,,0,Production of lithium minerals,20312,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",Production,lithium minerals,-----,,Zimbabwe,Lepidolite (Li content),Nil (nothing produced),,ZW,A
8.075654,9.676734,NGA,Lithium,Normal Value,8.075654,Lithium minerals,tonnes (metric),2020-01-01 00:00:00,9.676734,Spodumene,1,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,0,Production of lithium minerals,896,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",Production,lithium minerals,-----,,Nigeria,Spodumene,Nil (nothing produced),,NG,A
38.189454999999995,-13.567587,MOZ,Lithium,Normal Value,38.189455,Lithium minerals,tonnes (metric),2020-01-01 00:00:00,-13.567587,Spodumene,1,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,0,Production of lithium minerals,896,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",Production,lithium minerals,-----,*,Mozambique,Spodumene,Nil (nothing produced),Estimates.,MZ,A
-8.263145999999999,39.866841,PRT,,Normal value,-8.263146,,tonnes (metric),2020-01-01 00:00:00,39.866841,,1,84,,161,Production of lithium minerals,20300,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",Production,lithium minerals,161,,Portugal,Lithium minerals (Li content),,,PT,A
38.189454999999995,-13.567587,MOZ,,Normal Value,38.189455,,tonnes (metric),2020-01-01 00:00:00,-13.567587,,1,84,,0,Production of lithium minerals,20311,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",Production,lithium minerals,-----,,Mozambique,Spodumene (Li content),Nil (nothing produced),,MZ,A
38.189454999999995,-13.567587,MOZ,Lithium,Normal Value,38.189455,Lithium minerals,tonnes (metric),2020-01-01 00:00:00,-13.567587,Lepidolite,1,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,0,Production of lithium minerals,894,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",Production,lithium minerals,-----,*,Mozambique,Lepidolite,Nil (nothing produced),Estimates.,MZ,A
8.075654,9.676734,NGA,,Normal value,8.075654,,tonnes (metric),2020-01-01 00:00:00,9.676734,,1,84,,130,Production of lithium minerals,895,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",Production,lithium minerals,130,*,Nigeria,Petalite,,Estimates.,NG,A
38.189454999999995,-13.567587,MOZ,,Normal Value,38.189455,,tonnes (metric),2020-01-01 00:00:00,-13.567587,,1,84,,0,Production of lithium minerals,20312,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",Production,lithium minerals,-----,,Mozambique,Lepidolite (Li content),Nil (nothing produced),,MZ,A
-69.73191899999999,-26.162882999999997,CHL,,Normal value,-69.731919,,tonnes (metric),2020-01-01 00:00:00,-26.162883,,1,84,,1490,Production of lithium minerals,20300,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",Production,lithium minerals,1490,i,Chile,Lithium minerals (Li content),,Hydroxide.,CL,A
-49.028009999999995,-12.408957,BRA,Lithium,Normal value,-49.028010,Lithium minerals,tonnes (metric),2020-01-01 00:00:00,-12.408957,Spodumene,1,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,74101,Production of lithium minerals,896,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",Production,lithium minerals,74101,,Brazil,Spodumene,,,BR,A
