mineral,stage,hs_code_queried,hs_description,period,reporterCode,reporterISO,reporterDesc,partnerCode,partnerISO,partnerDesc,flowCode,flowDesc,cmdCode,cmdDesc,primaryValue,netWgt,grossWgt,qty,qtyUnitAbbr,cifvalue,fobvalue
nickel,primary,260400,Nickel ores and concentrates,2023,826,GBR,United Kingdom,699,IND,India,M,Import,260400,Nickel ores and concentrates,1302.609,2.0,0.0,2.0,kg,1302.609,
nickel,primary,260400,Nickel ores and concentrates,2023,826,GBR,United Kingdom,826,GBR,United Kingdom,M,Import,260400,Nickel ores and concentrates,1886.795,1.0,0.0,1.0,kg,1886.795,
nickel,primary,260400,Nickel ores and concentrates,2023,834,TZA,United Rep. of Tanzania,0,W00,World,M,Import,260400,Nickel ores and concentrates,4568.0,1022.0,0.0,1022.0,kg,4568.0,4208.19
nickel,primary,260400,Nickel ores and concentrates,2023,834,TZA,United Rep. of Tanzania,156,CHN,China,M,Import,260400,Nickel ores and concentrates,4568.0,1022.0,0.0,1022.0,kg,4568.0,4208.19
nickel,primary,260400,Nickel ores and concentrates,2023,842,USA,USA,0,W00,World,M,Import,260400,Nickel ores and concentrates,154883.0,39863.0,0.0,39863.0,kg,154883.0,148112.0
nickel,primary,260400,Nickel ores and concentrates,2023,842,USA,USA,76,BRA,Brazil,M,Import,260400,Nickel ores and concentrates,132064.0,36942.0,0.0,36942.0,kg,132064.0,126293.0
nickel,primary,260400,Nickel ores and concentrates,2023,842,USA,USA,156,CHN,China,M,Import,260400,Nickel ores and concentrates,3061.0,36.0,0.0,36.0,kg,3061.0,2861.0
nickel,primary,260400,Nickel ores and concentrates,2023,842,USA,USA,484,MEX,Mexico,M,Import,260400,Nickel ores and concentrates,11600.0,2883.0,0.0,2883.0,kg,11600.0,11250.0
nickel,primary,260400,Nickel ores and concentrates,2023,842,USA,USA,490,S19,"Other Asia, nes",M,Import,260400,Nickel ores and concentrates,8158.0,2.0,0.0,2.0,kg,8158.0,7708.0
nickel,primary,260400,Nickel ores and concentrates,2023,792,TUR,Türkiye,0,W00,World,X,Export,260400,Nickel ores and concentrates,225460.0,225860.0,0.0,225860.0,kg,,225460.0
nickel,primary,260400,Nickel ores and concentrates,2023,792,TUR,Türkiye,31,AZE,Azerbaijan,X,Export,260400,Nickel ores and concentrates,10460.0,10460.0,0.0,10460.0,kg,,10460.0
nickel,primary,260400,Nickel ores and concentrates,2023,792,TUR,Türkiye,56,BEL,Belgium,X,Export,260400,Nickel ores and concentrates,215000.0,215400.0,0.0,215400.0,kg,,215000.0
nickel,primary,260400,Nickel ores and concentrates,2023,807,MKD,North Macedonia,0,W00,World,X,Export,260400,Nickel ores and concentrates,20.0,200.0,0.0,200.0,kg,,20.0
nickel,primary,260400,Nickel ores and concentrates,2023,807,MKD,North Macedonia,196,CYP,Cyprus,X,Export,260400,Nickel ores and concentrates,20.0,200.0,0.0,200.0,kg,,20.0
nickel,primary,260400,Nickel ores and concentrates,2023,826,GBR,United Kingdom,0,W00,World,X,Export,260400,Nickel ores and concentrates,28134.127,871.0,0.0,871.0,kg,,28134.127
