x,y,country_iso3_code,erml_group,sdmx_translation,pole_of_inaccessibility_longitude,erml_commodity,units,year,pole_of_inaccessibility_latitude,erml_sub_commodity,concat_table_notes_code,yearbook_table_id,cgi_commodity_url,quantity,yearbook_table_trans,bgs_commodity_code,concat_table_notes_text,bgs_statistic_type_trans,bgs_commodity_trans,quantity_in_book_style,concat_figure_notes_code,country_trans,bgs_sub_commodity_trans,data_precision_description,concat_figure_notes_text,country_iso2_code,sdmx_code
20.45,44.816666999999995,YUG,Nickel,Normal value,20.450000,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,44.816667,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,500,Mine production of nickel,19951,,Production,"nickel, mine",500,*,Yugoslavia,,,Estimates.,YU,A
-3.0,55.0,GBR,Nickel,Normal value,-3.000000,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,55.000000,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,19300,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",19300,,United Kingdom,,,,GB,A
29.851884,-19.002536,ZWE,Nickel,Normal value,29.851884,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,-19.002536,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,15075,Mine production of nickel,19951,,Production,"nickel, mine",15075,x,Zimbabwe,,,In 1980 Rhodesia was renamed Zimbabwe.,ZW,A
-90.736761,15.240898,GTM,Nickel,Normal value,-90.736761,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,15.240898,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,6744,Mine production of nickel,19951,,Production,"nickel, mine",6744,,Guatemala,,,,GT,A
-49.028009999999995,-12.408957,BRA,Nickel,Normal value,-49.028010,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,-12.408957,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,5838,Mine production of nickel,19951,,Production,"nickel, mine",5838,,Brazil,,,,BR,A
20.154355,40.519335999999996,ALB,Nickel,Normal value,20.154355,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,40.519336,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,4500,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",4500,*,Albania,,,Estimates.,AL,A
20.154355,40.519335999999996,ALB,Nickel,Normal value,20.154355,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,40.519336,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,8500,Mine production of nickel,19951,,Production,"nickel, mine",8500,,Albania,,,,AL,A
-97.834383,39.139831,USA,Nickel,Normal value,-97.834383,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,39.139831,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,13293,Mine production of nickel,19951,,Production,"nickel, mine",13293,,USA,,,,US,A
19.394322,52.124770999999996,POL,Nickel,Normal value,19.394322,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,52.124771,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,1800,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",1800,*,Poland,,,Estimates.,PL,A
-80.718912,22.366246999999998,CUB,Nickel,Normal value,-80.718912,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,22.366247,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,38207,Mine production of nickel,19951,,Production,"nickel, mine",38207,b,Cuba,,,Ni and Co content.,CU,A
121.417908,17.522436,PHL,Nickel,Normal value,121.417908,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,17.522436,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,22731,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",22731,,Philippines,,,,PH,A
114.218582,-0.9663149999999999,IDN,Nickel,Normal value,114.218582,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,-0.966315,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,40600,Mine production of nickel,19951,,Production,"nickel, mine",40600,,Indonesia,,,,ID,A
-6.587161,31.846552,MAR,Nickel,Normal value,-6.587161,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,31.846552,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,500,Mine production of nickel,19951,,Production,"nickel, mine",500,,Morocco,,,,MA,A
14.4166,50.083332999999996,CSK,Nickel,Normal value,14.416600,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,50.083333,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,2200,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",2200,*,Czechoslovakia,,,Estimates.,CS,A
20.45,44.816666999999995,YUG,Nickel,Normal Value,20.450000,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,44.816667,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,0,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",-----,,Yugoslavia,,Nil (nothing produced),,YU,A
-97.834383,39.139831,USA,Nickel,Normal value,-97.834383,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,39.139831,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,40120,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",40120,,USA,,,,US,A
132.72135600000001,-23.137734,AUS,Nickel,Normal value,132.721356,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,-23.137734,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,74323,Mine production of nickel,19951,,Production,"nickel, mine",74323,,Australia,,,,AU,A
13.404,52.518611,DDR,Nickel,Normal value,13.404000,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,52.518611,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,2700,Mine production of nickel,19951,,Production,"nickel, mine",2700,,German Democratic Rep,,,,DD,A
27.679723,63.018750999999995,FIN,Nickel,Normal value,27.679723,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,63.018751,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,12646,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",12646,,Finland,,,,FI,A
114.218582,-0.9663149999999999,IDN,Nickel,Normal value,114.218582,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,-0.966315,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,4421,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",4421,,Indonesia,,,,ID,A
142.796275,43.46076,JPN,Nickel,Normal value,142.796275,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,43.460760,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,109300,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",109300,,Japan,,,,JP,A
22.009674999999998,39.740648,GRC,Nickel,Normal value,22.009675,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,39.740648,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,13900,Mine production of nickel,19951,,Production,"nickel, mine",13900,h,Greece,,,Ni content of ferro-nickel.,GR,A
10.262436,61.687073999999996,NOR,Nickel,Normal value,10.262436,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,61.687074,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,37123,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",37123,,Norway,,,,NO,A
-80.718912,22.366246999999998,CUB,Nickel,Normal value,-80.718912,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,22.366247,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,20020,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",20020,,Cuba,,,,CU,A
-70.500342,18.899231999999998,DOM,Nickel,Normal value,-70.500342,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,18.899232,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,16350,Mine production of nickel,19951,,Production,"nickel, mine",16350,h,Dominican Republic,,,Ni content of ferro-nickel.,DO,A
23.214465999999998,-30.457874999999998,ZAF,Nickel,Normal value,23.214466,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,-30.457875,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,18100,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",18100,,South Africa,,,,ZA,A
-49.028009999999995,-12.408957,BRA,Nickel,Normal value,-49.028010,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,-12.408957,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,2504,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",2504,,Brazil,,,,BR,A
-73.327862,3.734623,COL,Nickel,Normal Value,-73.327862,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,3.734623,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,0,Mine production of nickel,19951,,Production,"nickel, mine",-----,,Colombia,,Nil (nothing produced),,CO,A
96.111983,21.798486,MMR,Nickel,Normal value,96.111983,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,21.798486,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,14,Mine production of nickel,19951,,Production,"nickel, mine",14,d|e,Myanmar,,,Ni content of nickel speiss.|Years ended 31 March following that stated.,MM,A
19.394322,52.124770999999996,POL,Nickel,Normal value,19.394322,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,52.124771,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,1100,Mine production of nickel,19951,,Production,"nickel, mine",1100,*,Poland,,,Estimates.,PL,A
121.417908,17.522436,PHL,Nickel,Normal value,121.417908,"Nickel (mine production, metal content)",tonnes (metal content),1980-01-01 00:00:00,17.522436,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,47114,Mine production of nickel,19951,,Production,"nickel, mine",47114,,Philippines,,,,PH,A
109.537431,32.216659,CHN,Nickel,Normal value,109.537431,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,32.216659,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,11000,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",11000,*,China,,,Estimates.,CN,A
82.51,55.51,SUN,Nickel,Normal value,82.510000,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,55.510000,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,165000,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",165000,*,Soviet Union,,,Estimates.,SU,A
-70.500342,18.899231999999998,DOM,Nickel,Normal value,-70.500342,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,18.899232,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,16552,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",16552,c,Dominican Republic,,,Shipments of ferro-nickel (Ni content).,DO,A
-119.677633,59.205383999999995,CAN,Nickel,Normal value,-119.677633,"Nickel, smelter/refinery",tonnes (metric),1980-01-01 00:00:00,59.205384,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,142155,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",142155,,Canada,,,,CA,A
-70.500342,18.899231999999998,DOM,Nickel,Normal value,-70.500342,"Nickel (mine production, metal content)",tonnes (metal content),1981-01-01 00:00:00,18.899232,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,19020,Mine production of nickel,19951,,Production,"nickel, mine",19020,h,Dominican Republic,,,Ni content of ferro-nickel.,DO,A
10.262436,61.687073999999996,NOR,Nickel,Normal value,10.262436,"Nickel, smelter/refinery",tonnes (metric),1981-01-01 00:00:00,61.687074,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,36954,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",36954,,Norway,,,,NO,A
121.417908,17.522436,PHL,Nickel,Normal value,121.417908,"Nickel (mine production, metal content)",tonnes (metal content),1981-01-01 00:00:00,17.522436,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,29247,Mine production of nickel,19951,,Production,"nickel, mine",29247,,Philippines,,,,PH,A
96.111983,21.798486,MMR,Nickel,Normal value,96.111983,"Nickel (mine production, metal content)",tonnes (metal content),1981-01-01 00:00:00,21.798486,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,20,Mine production of nickel,19951,,Production,"nickel, mine",20,d|e,Myanmar,,,Ni content of nickel speiss.|Years ended 31 March following that stated.,MM,A
82.51,55.51,SUN,Nickel,Normal value,82.510000,"Nickel, smelter/refinery",tonnes (metric),1981-01-01 00:00:00,55.510000,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,170000,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",170000,*,Soviet Union,,,Estimates.,SU,A
-119.677633,59.205383999999995,CAN,Nickel,Normal value,-119.677633,"Nickel, smelter/refinery",tonnes (metric),1981-01-01 00:00:00,59.205384,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,106406,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",106406,,Canada,,,,CA,A
19.394322,52.124770999999996,POL,Nickel,Normal value,19.394322,"Nickel (mine production, metal content)",tonnes (metal content),1981-01-01 00:00:00,52.124771,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,1000,Mine production of nickel,19951,,Production,"nickel, mine",1000,*,Poland,,,Estimates.,PL,A
-73.327862,3.734623,COL,Nickel,Normal Value,-73.327862,"Nickel (mine production, metal content)",tonnes (metal content),1981-01-01 00:00:00,3.734623,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,0,Mine production of nickel,19951,,Production,"nickel, mine",-----,,Colombia,,Nil (nothing produced),,CO,A
109.537431,32.216659,CHN,Nickel,Normal value,109.537431,"Nickel, smelter/refinery",tonnes (metric),1981-01-01 00:00:00,32.216659,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,12000,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",12000,*,China,,,Estimates.,CN,A
-70.500342,18.899231999999998,DOM,Nickel,Normal value,-70.500342,"Nickel, smelter/refinery",tonnes (metric),1981-01-01 00:00:00,18.899232,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,18679,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",18679,c,Dominican Republic,,,Shipments of ferro-nickel (Ni content).,DO,A
-80.718912,22.366246999999998,CUB,Nickel,Normal value,-80.718912,"Nickel, smelter/refinery",tonnes (metric),1981-01-01 00:00:00,22.366247,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,20850,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",20850,,Cuba,,,,CU,A
23.214465999999998,-30.457874999999998,ZAF,Nickel,Normal value,23.214466,"Nickel, smelter/refinery",tonnes (metric),1981-01-01 00:00:00,-30.457875,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,17200,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",17200,,South Africa,,,,ZA,A
-49.028009999999995,-12.408957,BRA,Nickel,Normal value,-49.028010,"Nickel, smelter/refinery",tonnes (metric),1981-01-01 00:00:00,-12.408957,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,2334,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",2334,,Brazil,,,,BR,A
27.679723,63.018750999999995,FIN,Nickel,Normal value,27.679723,"Nickel (mine production, metal content)",tonnes (metal content),1981-01-01 00:00:00,63.018751,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,7557,Mine production of nickel,19951,,Production,"nickel, mine",7557,,Finland,,,,FI,A
-73.327862,3.734623,COL,Nickel,Normal Value,-73.327862,"Nickel, smelter/refinery",tonnes (metric),1981-01-01 00:00:00,3.734623,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,0,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",-----,,Colombia,,Nil (nothing produced),,CO,A
20.154355,40.519335999999996,ALB,Nickel,Normal value,20.154355,"Nickel (mine production, metal content)",tonnes (metal content),1981-01-01 00:00:00,40.519336,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,8800,Mine production of nickel,19951,,Production,"nickel, mine",8800,,Albania,,,,AL,A
-6.587161,31.846552,MAR,Nickel,Normal value,-6.587161,"Nickel (mine production, metal content)",tonnes (metal content),1981-01-01 00:00:00,31.846552,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,500,Mine production of nickel,19951,,Production,"nickel, mine",500,,Morocco,,,,MA,A
29.851884,-19.002536,ZWE,Nickel,Normal value,29.851884,"Nickel (mine production, metal content)",tonnes (metal content),1981-01-01 00:00:00,-19.002536,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,13018,Mine production of nickel,19951,,Production,"nickel, mine",13018,,Zimbabwe,,,,ZW,A
29.851884,-19.002536,ZWE,Nickel,Normal value,29.851884,"Nickel, smelter/refinery",tonnes (metric),1981-01-01 00:00:00,-19.002536,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,12400,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",12400,,Zimbabwe,,,,ZW,A
132.72135600000001,-23.137734,AUS,Nickel,Normal value,132.721356,"Nickel, smelter/refinery",tonnes (metric),1981-01-01 00:00:00,-23.137734,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,42505,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",42505,,Australia,,,,AU,A
164.564138,-20.661227999999998,NCL,Nickel,Normal value,164.564138,"Nickel, smelter/refinery",tonnes (metric),1981-01-01 00:00:00,-20.661228,,,103,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,27989,Smelter/refinery production of nickel,907,,Production,"nickel, smelter/refinery",27989,,New Caledonia,,,,NC,A
20.45,44.816666999999995,YUG,Nickel,Normal value,20.450000,"Nickel (mine production, metal content)",tonnes (metal content),1981-01-01 00:00:00,44.816667,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,2000,Mine production of nickel,19951,,Production,"nickel, mine",2000,*,Yugoslavia,,,Estimates.,YU,A
23.963964999999998,-21.767426,BWA,Nickel,Normal value,23.963965,"Nickel (mine production, metal content)",tonnes (metal content),1981-01-01 00:00:00,-21.767426,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,18279,Mine production of nickel,19951,,Production,"nickel, mine",18279,,Botswana,,,,BW,A
114.218582,-0.9663149999999999,IDN,Nickel,Normal value,114.218582,"Nickel (mine production, metal content)",tonnes (metal content),1981-01-01 00:00:00,-0.966315,Ores and concentates (metal content),,102,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,49400,Mine production of nickel,19951,,Production,"nickel, mine",49400,,Indonesia,,,,ID,A
