x,y,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,year,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,concat_table_notes_text,yearbook_table_trans,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code
18.043765,65.542091,Production,ferro-alloys,,,Sweden,Ferro-chrome,A,SE,,Normal value,SWE,,tonnes (metric),18.043765,,,1971-01-01 00:00:00,65.542091,,74,63763,,Production of ferro-alloys,861,63763,
-97.834383,39.139831,Production,ferro-alloys,,"Including ferro-boron and other complex boron additive alloys, ferro-molybdenum, ferro-tungsten, ferro-vanadium, spiegeleisen, ferro-zirconium and other miscellaneous alloys.",USA,Other ferro-alloys,A,US,,Normal value,USA,,tonnes (metric),-97.834383,,,1971-01-01 00:00:00,39.139831,,74,78316,,Production of ferro-alloys,877,78316,q
7.1000000000000005,50.733332999999995,Production,ferro-alloys,,,German Federal Republic,Ferro-manganese & spiegeleisen,A,DE,,Normal value,DEU,,tonnes (metric),7.100000,,,1971-01-01 00:00:00,50.733333,,74,210000,,Production of ferro-alloys,880,210000,
2.452177,46.620563,Production,ferro-alloys,,,France,Ferro-Si-manganese & silico-speigeleisen,A,FR,,Normal value,FRA,,tonnes (metric),2.452177,,,1971-01-01 00:00:00,46.620563,,74,13142,,Production of ferro-alloys,881,13142,
-97.834383,39.139831,Production,ferro-alloys,,,USA,Ferro-silico-manganese,A,US,,Normal value,USA,,tonnes (metric),-97.834383,,,1971-01-01 00:00:00,39.139831,,74,149397,,Production of ferro-alloys,871,149397,
23.214465999999998,-30.457874999999998,Production,ferro-alloys,,,South Africa,Ferro-alloys,A,ZA,,Normal value,ZAF,,tonnes (metric),23.214466,,,1971-01-01 00:00:00,-30.457875,,74,445700,,Production of ferro-alloys,859,445700,
-97.834383,39.139831,Production,ferro-alloys,,,USA,Ferro-manganese,A,US,,Normal value,USA,,tonnes (metric),-97.834383,,,1971-01-01 00:00:00,39.139831,,74,689366,,Production of ferro-alloys,863,689366,
82.51,55.51,Production,ferro-alloys,,,Soviet Union,Ferro-manganese,A,SU,,Normal value,SUN,,tonnes (metric),82.510000,,,1971-01-01 00:00:00,55.510000,,74,856000,,Production of ferro-alloys,863,856000,
164.564138,-20.661227999999998,Production,ferro-alloys,,Nickel content.,New Caledonia,Ferro-nickel,A,NC,,Normal value,NCL,,tonnes (metric),164.564138,,,1971-01-01 00:00:00,-20.661228,,74,29881,,Production of ferro-alloys,865,29881,y
2.452177,46.620563,Production,ferro-alloys,,,France,Ferro-manganese & spiegeleisen,A,FR,,Normal value,FRA,,tonnes (metric),2.452177,,,1971-01-01 00:00:00,46.620563,,74,445000,,Production of ferro-alloys,880,445000,
